valorobservado	count
100	2057995
99	1364183
0	922623
93	803608
92	791908
91	772241
94	771230
90	767718
98	763805
97	759163
89	756913
88	739550
95	736251
96	732683
87	721678
86	697579
85	676423
84	657937
83	643639
82	628435
81	610581
27	610454
80	601485
79	586914
78	575945
77	569721
76	563488
75	542528
74	523636
73	510340
28	505499
72	501383
67	498601
70	497117
68	496223
71	495525
69	493315
66	489591
65	450284
64	422366
63	399259
62	380975
61	369375
60	348839
59	325526
58	306123
57	290605
56	272703
55	251558
54	233982
53	218580
52	201605
51	185881
29	171448
50	168868
49	152460
48	139192
47	126987
1	126793
46	115692
2	104538
45	104335
44	93645
43	83229
3	75080
42	72301
41	64348
40	59031
39	51508
38	46625
37	41932
36	38591
35	34023
34	31222
31	30214
32	29257
33	29185
4	28938
5	27048
30	22885
6	21254
25	16750
24	16510
26	15988
21	15356
8	15040
23	14523
22	14199
20	14042
17	12759
19	12585
9	12233
18	12076
7	12012
16	11916
10	11537
14	11492
13	11350
15	10972
11	10103
12	9167
